random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,64
58,29626609,Homozygous LAMC3 mutation links to structural and functional changes in visual attention networks,"Urgen BM, Topac Y, Ustun FS, Demirayak P, Oguz KK, Kansu T, Saygi S, Ozcelik T, Boyaci H, Doerschner K.",Neuroimage. 2019 Apr 15;190:242-253. doi: 10.1016/j.neuroimage.2018.03.077. Epub 2018 Apr 4.,Urgen BM,Neuroimage,2019,2018/04/08,,,10.1016/j.neuroimage.2018.03.077,MP,,0,1,12,,,,,,,,
59,31632235,Structural Connectivity Alterations in Amyotrophic Lateral Sclerosis: A Graph Theory Based Imaging Study,"Fortanier E, Grapperon AM, Le Troter A, Verschueren A, Ridley B, Guye M, Attarian S, Ranjeva JP, Zaaraoui W.",Front Neurosci. 2019 Oct 2;13:1044. doi: 10.3389/fnins.2019.01044. eCollection 2019.,Fortanier E,Front Neurosci,2019,2019/10/22,PMC6783612,,10.3389/fnins.2019.01044,MP,,1,26,25,,,,1,0,motivation,motivation NBS,
60,32223102,[Correlation of betweenness centrality of the right hemispheric network with ejaculatory function in premature ejaculation patients],"Chen JH, Huang XF, Dai LQ, Liu T, Yao ZJ, Dai YT, Chen Y.",Zhonghua Nan Ke Xue. 2019 Jul;25(7):613-618.,Chen JH,Zhonghua Nan Ke Xue,2019,2020/03/31,,,,,,,,,,,,,,,,
61,30251770,Vitamin D deficiency is associated with reduced hippocampal volume and disrupted structural connectivity in patients with mild cognitive impairment,"Al-Amin M, Bradford D, Sullivan RKP, Kurniawan ND, Moon Y, Han SH, Zalesky A, Burne THJ.",Hum Brain Mapp. 2019 Feb 1;40(2):394-406. doi: 10.1002/hbm.24380. Epub 2018 Sep 25.,Al-Amin M,Hum Brain Mapp,2019,2018/09/26,PMC6865549,,10.1002/hbm.24380,MP,,1,25,27,,,,0,0,,,
62,30549156,"Regional multimodal relationships between tau, hypometabolism, atrophy, and fractional anisotropy in atypical Alzheimer's disease","Sintini I, Schwarz CG, Martin PR, Graff-Radford J, Machulda MM, Senjem ML, Reid RI, Spychalla AJ, Drubach DA, Lowe VJ, Jack CR Jr, Josephs KA, Whitwell JL.",Hum Brain Mapp. 2019 Apr 1;40(5):1618-1631. doi: 10.1002/hbm.24473. Epub 2018 Dec 13.,Sintini I,Hum Brain Mapp,2019,2018/12/15,PMC6615561,NIHMS1011787,10.1002/hbm.24473,MP,,1,20,,,,,1,0,limitation (lack of power),Paper noemt niet aantal HC?,
63,30825712,Connectome-wide network analysis of white matter connectivity in Alzheimer's disease,"Ye C, Mori S, Chan P, Ma T.",Neuroimage Clin. 2019;22:101690. doi: 10.1016/j.nicl.2019.101690. Epub 2019 Feb 21.,Ye C,Neuroimage Clin,2019,2019/03/03,PMC6396432,,10.1016/j.nicl.2019.101690,MP,,1,46,48,27,40,,1,0,limitation/motivation,limitation of CWAS,
64,31946312,Prediction of Multiple Sclerosis Patient Disability from Structural Connectivity using Convolutional Neural Networks,"Marzullo A, Kocevar G, Stamile C, Calimeri F, Terracina G, Durand-Dubief F, Sappey-Marinier D.",Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:2087-2090. doi: 10.1109/EMBC.2019.8856845.,Marzullo A,Annu Int Conf IEEE Eng Med Biol Soc,2019,2020/01/18,,,10.1109/EMBC.2019.8856845,NO ACCES,,0,,,,,,,,,,
65,31157938,Gray matter T1-w/T2-w ratios are higher in Alzheimer's disease,"Pelkmans W, Dicks E, Barkhof F, Vrenken H, Scheltens P, van der Flier WM, Tijms BM.",Hum Brain Mapp. 2019 Sep;40(13):3900-3909. doi: 10.1002/hbm.24638. Epub 2019 Jun 3.,Pelkmans W,Hum Brain Mapp,2019,2019/06/04,PMC6771703,,10.1002/hbm.24638,MP,,0,,,,,,,,,,
66,29396752,Topography of activation deficits in schizophrenia during P300 task related to cognition and structural connectivity,"Molina V, Bachiller A, de Luis R, Lubeiro A, Poza J, Hornero R, Alonso JF, Mañanas MA, Marqués P, Romero S.",Eur Arch Psychiatry Clin Neurosci. 2019 Jun;269(4):419-428. doi: 10.1007/s00406-018-0877-3. Epub 2018 Feb 2.,Molina V,Eur Arch Psychiatry Clin Neurosci,2019,2018/02/04,,,10.1007/s00406-018-0877-3,MP,,1,38,53,,,,0,0,,,
67,31229940,Disrupted structural connectivity of fronto-deep gray matter pathways in progressive supranuclear palsy,"Abos A, Segura B, Baggio HC, Campabadal A, Uribe C, Garrido A, Camara A, Muñoz E, Valldeoriola F, Marti MJ, Junque C, Compta Y.",Neuroimage Clin. 2019;23:101899. doi: 10.1016/j.nicl.2019.101899. Epub 2019 Jun 15.,Abos A,Neuroimage Clin,2019,2019/06/24,PMC6593210,,10.1016/j.nicl.2019.101899,MP,,1,20,19,,,,0,0,,,
68,29733919,Disruptions of brain structural network in end-stage renal disease patients with long-term hemodialysis and normal-appearing brain tissues,"Chou MC, Ko CH, Chang JM, Hsieh TJ.",J Neuroradiol. 2019 Jul;46(4):256-262. doi: 10.1016/j.neurad.2018.04.004. Epub 2018 May 4.,Chou MC,J Neuroradiol,2019,2018/05/08,,,10.1016/j.neurad.2018.04.004,MP,,1,33,29,,,,0,0,,,
69,31572119,Structural and Functional Connectivity of the Anterior Cingulate Cortex in Patients With Borderline Personality Disorder,"Lei X, Zhong M, Zhang B, Yang H, Peng W, Liu Q, Zhang Y, Yao S, Tan C, Yi J.",Front Neurosci. 2019 Sep 13;13:971. doi: 10.3389/fnins.2019.00971. eCollection 2019.,Lei X,Front Neurosci,2019,2019/10/02,PMC6753388,,10.3389/fnins.2019.00971,MP,,1,50,54,,,,0,0,,seed,
70,29752654,Reduced hemispheric asymmetry of brain anatomical networks in attention deficit hyperactivity disorder,"Li D, Li T, Niu Y, Xiang J, Cao R, Liu B, Zhang H, Wang B.",Brain Imaging Behav. 2019 Jun;13(3):669-684. doi: 10.1007/s11682-018-9881-5.,Li D,Brain Imaging Behav,2019,2018/05/13,,,10.1007/s11682-018-9881-5,MP,,1,40,43,,,,0,0,,,
71,31727742,Topological Alterations of the Structural Brain Connectivity Network in Children with Juvenile Neuronal Ceroid Lipofuscinosis,"Roine T, Roine U, Tokola A, Balk MH, Mannerkoski M, Åberg L, Lönnqvist T, Autti T.",AJNR Am J Neuroradiol. 2019 Dec;40(12):2146-2153. doi: 10.3174/ajnr.A6306. Epub 2019 Nov 14.,Roine T,AJNR Am J Neuroradiol,2019,2019/11/16,PMC6975341,,10.3174/ajnr.A6306,MP,,1,14,14,,,,0,0,,,
72,30969973,Diffusion tensor imaging reveals diffuse white matter injuries in locked-in syndrome patients,"Leonard M, Renard F, Harsan L, Pottecher J, Braun M, Schneider F, Froehlig P, Blanc F, Roquet D, Achard S, Meyer N, Kremer S.",PLoS One. 2019 Apr 10;14(4):e0213528. doi: 10.1371/journal.pone.0213528. eCollection 2019.,Leonard M,PLoS One,2019,2019/04/11,PMC6457498,,10.1371/journal.pone.0213528,MP,,1,7,19,,,,0,0,,,
73,31835289,Severe asymptomatic carotid stenosis is associated with robust reductions in homotopic functional connectivity,"Gao L, Wang T, Qian T, Xiao F, Bai L, Zhang J, Xu H.",Neuroimage Clin. 2019;24:102101. doi: 10.1016/j.nicl.2019.102101. Epub 2019 Nov 20.,Gao L,Neuroimage Clin,2019,2019/12/15,PMC6911862,,10.1016/j.nicl.2019.102101,MP,,1,24,24,84,,,0,0,,,
74,31135048,Longitudinal progression of grey matter atrophy in non-amnestic Alzheimer's disease,"Phillips JS, Da Re F, Irwin DJ, McMillan CT, Vaishnavi SN, Xie SX, Lee EB, Cook PA, Gee JC, Shaw LM, Trojanowski JQ, Wolk DA, Grossman M.",Brain. 2019 Jun 1;142(6):1701-1722. doi: 10.1093/brain/awz091.,Phillips JS,Brain,2019,2019/05/29,PMC6585881,,10.1093/brain/awz091,MP,,1,85,74,,,,1,0,limitation,,
75,31946418,Central sulcus is a barrier to causal propagation in epileptic networks,"Maharathi B, Loeb JA, Patton J.",Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:2555-2559. doi: 10.1109/EMBC.2019.8857401.,Maharathi B,Annu Int Conf IEEE Eng Med Biol Soc,2019,2020/01/18,,,10.1109/EMBC.2019.8857401,MP,,0,,,,,,,,,,
76,30793079,Accelerated intermittent theta burst stimulation in major depression induces decreases in modularity: A connectome analysis,"Caeyenberghs K, Duprat R, Leemans A, Hosseini H, Wilson PH, Klooster D, Baeken C.",Netw Neurosci. 2018 Nov 1;3(1):157-172. doi: 10.1162/netn_a_00060. eCollection 2019.,Caeyenberghs K,Netw Neurosci,2018,2019/02/23,PMC6372023,,10.1162/netn_a_00060,MP,,1,60,50,,,,0,0,,,
77,31034993,Differential language network functional connectivity alterations in Alzheimer's disease and the semantic variant of primary progressive aphasia,"Montembeault M, Chapleau M, Jarret J, Boukadi M, Laforce R Jr, Wilson MA, Rouleau I, Brambati SM.",Cortex. 2019 Aug;117:284-298. doi: 10.1016/j.cortex.2019.03.018. Epub 2019 Apr 3.,Montembeault M,Cortex,2019,2019/04/30,,,10.1016/j.cortex.2019.03.018,MP,,0,10,12,11,,,,,,FUNCTIONAL STUDY,
78,30687226,Prediction of Conversion From Amnestic Mild Cognitive Impairment to Alzheimer's Disease Based on the Brain Structural Connectome,"Sun Y, Bi Q, Wang X, Hu X, Li H, Li X, Ma T, Lu J, Chan P, Shu N, Han Y.",Front Neurol. 2019 Jan 10;9:1178. doi: 10.3389/fneur.2018.01178. eCollection 2018.,Sun Y,Front Neurol,2019,2019/01/29,PMC6335339,,10.3389/fneur.2018.01178,MP,,1,52,26,,,,0,0,POWER in terms of ROC classification,,
79,31099821,Characterizing the role of the structural connectome in seizure dynamics,"Shah P, Ashourvan A, Mikhail F, Pines A, Kini L, Oechsel K, Das SR, Stein JM, Shinohara RT, Bassett DS, Litt B, Davis KA.",Brain. 2019 Jul 1;142(7):1955-1972. doi: 10.1093/brain/awz125.,Shah P,Brain,2019,2019/05/18,PMC6598625,,10.1093/brain/awz125,MP,,0,,,,,,,,,,
80,31819451,Frequency-Specific Abnormalities Of Functional Homotopy In Alcohol Dependence: A Resting-State Functional Magnetic Resonance Imaging Study,"Guo L, Zhou F, Zhang N, Kuang H, Feng Z.",Neuropsychiatr Dis Treat. 2019 Nov 19;15:3231-3245. doi: 10.2147/NDT.S221010. eCollection 2019.,Guo L,Neuropsychiatr Dis Treat,2019,2019/12/11,PMC6875289,,10.2147/NDT.S221010,MP,,0,,,,,,,,,,
81,31293502,Basal Ganglia-Cortical Circuit Disruption in Subcortical Silent Lacunar Infarcts,"Zhu H, Wang W, Li H, Chen K, Li P, Li X, Zhang J, Wei D, Chen Y.",Front Neurol. 2019 Jun 25;10:660. doi: 10.3389/fneur.2019.00660. eCollection 2019.,Zhu H,Front Neurol,2019,2019/07/12,PMC6603169,,10.3389/fneur.2019.00660,MP,,1,30,30,,,,0,0,,,
82,31103958,Exploring the clinical outcomes after deep brain stimulation in Tourette syndrome,"Brito M, Teixeira MJ, Mendes MM, França C, Iglesio R, Barbosa ER, Cury RG.",J Neurol Sci. 2019 Jul 15;402:48-51. doi: 10.1016/j.jns.2019.05.011. Epub 2019 May 13.,Brito M,J Neurol Sci,2019,2019/05/20,,,10.1016/j.jns.2019.05.011,MP,,0,,,,,,,,,,
83,31244329,Diffusion Tensor Imaging Measures of Brain Connectivity for the Early Diagnosis of Alzheimer's Disease,"Marcos Dolado A, Gomez-Fernandez C, Yus Fuertes M, Barabash Bustelo A, Marcos-Arribas L, Lopez-Mico C, Jorquera Moya M, Fernandez-Perez C, Montejo Carrasco P, Cabranes Diaz JA, Arrazola Garcia J, Maestu Unturbe F.",Brain Connect. 2019 Oct;9(8):594-603. doi: 10.1089/brain.2018.0635. Epub 2019 Aug 2.,Marcos Dolado A,Brain Connect,2019,2019/06/28,,,10.1089/brain.2018.0635,MP,,1,135,72,,,,0,0,,NO ACCES,
84,31708857,What Kind of Brain Structural Connectivity Remodeling Can Relate to Residual Motor Function After Stroke?,"Wong WW, Fang Y, Chu WCW, Shi L, Tong KY.",Front Neurol. 2019 Oct 23;10:1111. doi: 10.3389/fneur.2019.01111. eCollection 2019.,Wong WW,Front Neurol,2019,2019/11/12,PMC6819511,,10.3389/fneur.2019.01111,MP,,1,13,13,,,,0,0,,,
85,30639179,White matter integrity in schizophrenia and bipolar disorder: Tract- and voxel-based analyses of diffusion data from the Connectom scanner,"Mamah D, Ji A, Rutlin J, Shimony JS.",Neuroimage Clin. 2019;21:101649. doi: 10.1016/j.nicl.2018.101649. Epub 2018 Dec 31.,Mamah D,Neuroimage Clin,2019,2019/01/15,PMC6411967,,10.1016/j.nicl.2018.101649,MP,,1,30,24,33,,,1,0,limitation/Motivation,,
86,31244599,Classification of Multiple Sclerosis Clinical Profiles via Graph Convolutional Neural Networks,"Marzullo A, Kocevar G, Stamile C, Durand-Dubief F, Terracina G, Calimeri F, Sappey-Marinier D.",Front Neurosci. 2019 Jun 12;13:594. doi: 10.3389/fnins.2019.00594. eCollection 2019.,Marzullo A,Front Neurosci,2019,2019/06/28,PMC6581753,,10.3389/fnins.2019.00594,MP,,0,12,30,20,28,24,0,,,CLASSIFICATION STUDY,
87,31164815,Effects of Brain Parcellation on the Characterization of Topological Deterioration in Alzheimer's Disease,"Wu Z, Xu D, Potter T, Zhang Y; Alzheimer's Disease Neuroimaging Initiative.",Front Aging Neurosci. 2019 May 21;11:113. doi: 10.3389/fnagi.2019.00113. eCollection 2019.,Wu Z,Front Aging Neurosci,2019,2019/06/06,PMC6536693,,10.3389/fnagi.2019.00113,MP,,1,20,20,20,,,0,0,,,
88,30655236,Alterations of structural connectivity in episodic cluster headache: A graph theoretical analysis,"Ha SY, Park KM.",J Clin Neurosci. 2019 Apr;62:60-65. doi: 10.1016/j.jocn.2019.01.007. Epub 2019 Jan 14.,Ha SY,J Clin Neurosci,2019,2019/01/19,,,10.1016/j.jocn.2019.01.007,MP,,0,20,10,,,,,,,,
89,33267031,Intra- and Inter-Modular Connectivity Alterations in the Brain Structural Network of Spinocerebellar Ataxia Type 3,"Jao CW, Soong BW, Wang TY, Wu HM, Lu CF, Wang PS, Wu YT.",Entropy (Basel). 2019 Mar 23;21(3):317. doi: 10.3390/e21030317.,Jao CW,Entropy (Basel),2019,2020/12/03,PMC7514800,,10.3390/e21030317,MP,,0,48,48,,,,,,,,
90,30561280,Functional and Structural Connectivity of the Cerebellar Nuclei With the Striatum and Cerebral Cortex in First-Episode Psychosis,"Lee KH, Oh H, Suh JS, Cho KIK, Yoon YB, Shin WG, Lee TY, Kwon JS.",J Neuropsychiatry Clin Neurosci. 2019 Spring;31(2):143-151. doi: 10.1176/appi.neuropsych.17110276. Epub 2018 Dec 18.,Lee KH,J Neuropsychiatry Clin Neurosci,2019,2018/12/19,,,10.1176/appi.neuropsych.17110276,MP,,1,40,40,,,,0,0,,seed,
91,30953893,"Disrupted interhemispheric resting-state functional connectivity and structural connectivity in first-episode, treatment-naïve generalized anxiety disorder","Wang W, Peng Z, Wang X, Wang P, Li Q, Wang G, Chen F, Chen X, Liu S.",J Affect Disord. 2019 May 15;251:280-286. doi: 10.1016/j.jad.2019.03.082. Epub 2019 Mar 30.,Wang W,J Affect Disord,2019,2019/04/07,,,10.1016/j.jad.2019.03.082,MP,,1,30,30,,,,1,0,limitation,,
92,30738778,Autonomic arousal elicited by subcallosal cingulate stimulation is explained by white matter connectivity,"Riva-Posse P, Inman CS, Choi KS, Crowell AL, Gross RE, Hamann S, Mayberg HS.",Brain Stimul. 2019 May-Jun;12(3):743-751. doi: 10.1016/j.brs.2019.01.015. Epub 2019 Jan 26.,Riva-Posse P,Brain Stimul,2019,2019/02/11,,,10.1016/j.brs.2019.01.015,MP,,0,,,,,,,,,,
93,30658916,Variations in Hippocampal White Matter Diffusivity Differentiate Response to Electroconvulsive Therapy in Major Depression,"Kubicki A, Leaver AM, Vasavada M, Njau S, Wade B, Joshi SH, Loureiro J, Hellemann G, Woods RP, Espinoza R, Narr KL.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Mar;4(3):300-309. doi: 10.1016/j.bpsc.2018.11.003. Epub 2018 Nov 14.,Kubicki A,Biol Psychiatry Cogn Neurosci Neuroimaging,2019,2019/01/20,,,10.1016/j.bpsc.2018.11.003,MP,,1,36,32,,,,0,0,,seed,
94,31283822,N-Acetyl-Cysteine Supplementation Improves Functional Connectivity Within the Cingulate Cortex in Early Psychosis: A Pilot Study,"Mullier E, Roine T, Griffa A, Xin L, Baumann PS, Klauser P, Cleusix M, Jenni R, Alemàn-Gómez Y, Gruetter R, Conus P, Do KQ, Hagmann P.",Int J Neuropsychopharmacol. 2019 Aug 1;22(8):478-487. doi: 10.1093/ijnp/pyz022.,Mullier E,Int J Neuropsychopharmacol,2019,2019/07/09,PMC6672595,,10.1093/ijnp/pyz022,MP,,0,9,11,,,,0,,,within subject design,
95,30758836,Structural and functional connectivity in newly diagnosed juvenile myoclonic epilepsy,"Lee HJ, Park KM.",Acta Neurol Scand. 2019 May;139(5):469-475. doi: 10.1111/ane.13079. Epub 2019 Feb 27.,Lee HJ,Acta Neurol Scand,2019,2019/02/14,,,10.1111/ane.13079,MP,,0,,,,,,,,,,
96,30952126,Divergent network properties that predict early surgical failure versus late recurrence in temporal lobe epilepsy,"Morgan VL, Rogers BP, Anderson AW, Landman BA, Englot DJ.",J Neurosurg. 2019 Apr 5;132(5):1324-1333. doi: 10.3171/2019.1.JNS182875.,Morgan VL,J Neurosurg,2019,2019/04/06,PMC6778487,NIHMS1025567,10.3171/2019.1.JNS182875,MP,,1,26,44,,,,0,0,,,
97,31286187,Alterations of white matter network in patients with left and right non-lesional temporal lobe epilepsy,"Yu Y, Chu L, Liu C, Huang M, Wang H.",Eur Radiol. 2019 Dec;29(12):6750-6761. doi: 10.1007/s00330-019-06295-5. Epub 2019 Jul 8.,Yu Y,Eur Radiol,2019,2019/07/10,,,10.1007/s00330-019-06295-5,B,,1,30,15,,,,0,0,,,
98,30953566,Increased and Decreased Superficial White Matter Structural Connectivity in Schizophrenia and Bipolar Disorder,"Ji E, Guevara P, Guevara M, Grigis A, Labra N, Sarrazin S, Hamdani N, Bellivier F, Delavest M, Leboyer M, Tamouza R, Poupon C, Mangin JF, Houenou J.",Schizophr Bull. 2019 Oct 24;45(6):1367-1378. doi: 10.1093/schbul/sbz015.,Ji E,Schizophr Bull,2019,2019/04/07,PMC6811818,,10.1093/schbul/sbz015,B,,1,31,32,54,,,1,0,other,"As these studies were focused on deep WM, future studies of SWM should be well-powered enabling categorization into homogenous subsamples.",
99,31545695,Differences in Brain Areas Affecting Language Function After Stroke,"Kyeong S, Kang H, Kyeong S, Kim DH.",Stroke. 2019 Oct;50(10):2956-2959. doi: 10.1161/STROKEAHA.119.026222. Epub 2019 Aug 6.,Kyeong S,Stroke,2019,2019/09/24,,,10.1161/STROKEAHA.119.026222,B,,0,,,,,,,,,not case-control,
100,31456676,Linking Molecular Pathways and Large-Scale Computational Modeling to Assess Candidate Disease Mechanisms and Pharmacodynamics in Alzheimer's Disease,"Stefanovski L, Triebkorn P, Spiegler A, Diaz-Cortes MA, Solodkin A, Jirsa V, McIntosh AR, Ritter P; Alzheimer's Disease Neuroimaging Initiative.",Front Comput Neurosci. 2019 Aug 13;13:54. doi: 10.3389/fncom.2019.00054. eCollection 2019.,Stefanovski L,Front Comput Neurosci,2019,2019/08/29,PMC6700386,,10.3389/fncom.2019.00054,B,,0,,,,,,,,,simulation,
101,30846924,The Shared and Distinct White Matter Networks Between Drug-Naive Patients With Obsessive-Compulsive Disorder and Schizophrenia,"Qin J, Sui J, Ni H, Wang S, Zhang F, Zhou Z, Tian L.",Front Neurosci. 2019 Feb 21;13:96. doi: 10.3389/fnins.2019.00096. eCollection 2019.,Qin J,Front Neurosci,2019,2019/03/09,PMC6393388,,10.3389/fnins.2019.00096,B,,1,29,29,65,,,1,0,interpretation,"These differing effects may be due to the limited statistical power of studies examining a small sample and the differences in the characteristics of recruited patients (i.e., disease severity level and cultural background) or research strategies utilized (i.e., imaging protocols) across studies",
102,30145717,The impact of localized grey matter damage on neighboring connectivity: posterior cortical atrophy and the visual network,"Glick-Shames H, Backner Y, Bick A, Raz N, Levin N.",Brain Imaging Behav. 2019 Oct;13(5):1292-1301. doi: 10.1007/s11682-018-9952-7.,Glick-Shames H,Brain Imaging Behav,2019,2018/08/27,,,10.1007/s11682-018-9952-7,B,,1,10,14,,,,0,0,,,
103,31491834,Finding maximally disconnected subnetworks with shortest path tractography,"Greene C, Cieslak M, Volz LJ, Hensel L, Grefkes C, Rose K, Grafton ST.",Neuroimage Clin. 2019;23:101903. doi: 10.1016/j.nicl.2019.101903. Epub 2019 Jun 18.,Greene C,Neuroimage Clin,2019,2019/09/08,PMC6627647,,10.1016/j.nicl.2019.101903,B,,1,210,11,,,,0,0,,,
